274071768, Kc3,Ke3, h5,g5, Kc2,Ke2, Kc3,f3, Kd4,f2, Kc5,f1=Q, h6,Qf5  {White resigns} 0-1
274071581, Qd2,b6, Bf4,Qh5, Bxc7,Rc8, f4,Ng4, h3,Qxh3, Rfe1,Qh2+, Kf1,Qxf2#  {White checkmated} 0-1
274071367, Kg2,Rb3, Rcc2,Rf5, Rd8+,Kh7, Rdd2,Rg5+, Kf2,Rgb5, Rd7,Rxb2, Rc7,Rxc2+  {White resigns} 0-1
274070551, Rf1,Nf4, Rf3,Nxg2, Rg3,Nf4+, Rd5,Nxd5, Rf3,Nf4, Qc3,Qxf3+, Qxf3,Bxf3+  {White resigns} 0-1
274067128, h4,Kb4, Kd4,Kxa4, Kc3,b5, h5,Ka3, Kd4,b4, Kd3,b3, Kd2,b2  {White resigns} 0-1
274066105, Qxa7,Ng4, Bxg4,Qxg4+, Kh2,Qh4+, Kg2,Nf6, Kg1,Ng4, Rfd1,Qh2+, Kf1,Qxf2#  {White checkmated} 0-1
274064836, Ke2,Qb2+, Kf3,Rd3+, Kg4,Qd4+, Be4,Qxe4+, Kh3,Qf5+, Kg2,Rd2+, Kh1,Qb1#  {White checkmated} 0-1
274062280, h3,Ng1, a5,Nxh3, Kd5,Nf2, Kd4,Kc6, a6,Kb6, Ke3,Nd1+, Kd2,Nb2  {White resigns} 0-1
274058339, Qe3,Rd8, Kf1,c2, Rc1,Qxe3, fxe3,Rd1+, Ke2,Rxc1, Kd2,Rg1, Kxc2,Rxg2+  {White resigns} 0-1
274057959, Re1,c1=Q, Rxc1,Rxc1, f4,a5, Ke4,a4, d5,a3, d6,Rd1, Ke5,a2  {White resigns} 0-1
274057461, Qxa7,Bxb5, Qxe7,Rxc4+, Kd3,Rc7+, Kxd4,Rxe7, Rc1,Rd8+, Ke3,g5, Rc3,Rd1  {White resigns} 0-1
274056820, Qxa8,Rxa8, a3,Ba6, Bxa6,Rxa6, b4,Ne6, Rc3,Qd7, Kc2,Nc7, Bg3,Nb5  {White resigns} 0-1
274056409, Bc4,b3, Bxa6,Kc3, Bb7,b2, Be4,d3, Kf6,b1=Q, Ke5,Qe1, Kd5,Qxe4+  {White resigns} 0-1
274055645, Rxf6,gxf6, Rxd4,Rxd4, Bxd4,Rd8, Bxf6,Rxd3, h4,c5, Kf2,Rd2+, Ke3,Rxa2  {White resigns} 0-1
274055275, Qc3,Bxb3, Qxb3+,Kh7, Qb1+,Kh8, Qf1,Rd1, g3,Rxf1+, Kxf1,Qd1+, Kg2,Qxa4  {White resigns} 0-1
274050861, Be2,Nxh5, Kc2,Ng7, Kd2,Ne6, Bf1,Nd4, Bg2,Kh5, Kd1,Kg4, Bf1,Ne6  {White resigns} 0-1
274048411, b4,Ne6, Bg5,Nxd4, Qxd4,Nf3+, Bxf3,Bxd4, Rad1,Bf6, Nxf6+,exf6, Bf4,Re6  {White resigns} 0-1
274047380, Ke2,Rxc5, a6,Ra5, Kf3,Rxa6, Kg4,Rf6, f4,Kf7, g3,Ke6, h4,Kd5  {White resigns} 0-1
274046443, Ba4,Ne2, Bd7,Bxd7, Nxb6,axb6, Kd5,Rxc1, Rxc1,Nxc1, Kxd6,Bc6, Kxe5,Nxa2  {White resigns} 0-1
274045501, Nc4,Rg8, Nxd6,Rxg4, Nxb7,Rag8, Rc7,Rxg2+, Kh1,Nf3, h3,Rg1+, Rxg1,Rxg1#  {White checkmated} 0-1
274043561, c6,Nd5, Kf2,Kf8, Kg3,Ke7, h4,h5, c7,Kd7, c8=Q+,Kxc8, Kh2,Kd7  {White resigns} 0-1
274043246, b3,Rd2, Bc5,Rcd8, Rc1,R8d5, Qg4,Rxc5, Rfd1,Rcd5, a3,Qd7, Rf1,a5  {White resigns} 0-1
274042357, Rc7,f4, f3,e3, Rxf4,e2, Rc1,e1=Q+, Rxe1,Rxe1+, Kh2,d4, b5,axb5  {White resigns} 0-1
274042077, f3,Ke7, Kf2,Kd6, e4,Kc5, Ke3,Kxc4, Kf4,a5, Ke5,Ne8, f4,b5  {White resigns} 0-1
274041964, hxg6,fxg6, Ke4,Kb6, Kf4,Kxa6, Kg3,Kb5, Kf3,Kc4, Ke4,h5, Kf4,Kd4  {White resigns} 0-1
274036962, g3,Qh3, Rc7,Bc8, Bxc8,f5, Bxe6,Nf6, Qxb5,Ng4, Rfc1,Qxh2+, Kf1,Qxf2#  {White checkmated} 0-1
274034904, Rxd2,Rd8, Nd4,c5, Qa3,Rxd4, Rxd4,cxd4, f4,Qc5, Qa1,d3, Qb1,Qc2  {White resigns} 0-1
274031815, Kxd2,Kd5, Kd3,b5, Kd2,Kc4, Ke3,Nxc3, h5,a5, hxg6,hxg6, d5,Kxd5  {White resigns} 0-1
274031566, Re5+,Kxa4, Re7,Kb3, Rxa7,c2, Ra1,Kb2, Rg1,c1=Q, Rxc1,Rxc1+, Kg2,Rc2+  {White resigns} 0-1
274030470, f6+,Kxf6, e7,Kxe7, d6+,Kxd6, Kg3,c2, Kxh3,c1=Q, Kg4,Qe3, Kf5,c5  {White resigns} 0-1
274030273, Rxd8+,Rxd8, Ra1,Rd2, Ra8+,Kg7, Rg8+,Kxg8, Qxf7+,Kxf7, Kg1,Qxh2+, Kf1,Qh1#  {White checkmated} 0-1
274028676, cxd5,Rf8, Rc2,f3, Bf1,Rf6, Rc7,Rh6, Rxa7,Qh4, Rxg7+,Kxg7, gxf3,Qh2#  {White checkmated} 0-1
274027944, Rc1,e4, Nb5,Bb8, Rxc8,Qxc8, Nxa7,Bxa7, Bb5,exf3, Qxf3,Re7, Rc1,Qd8  {White resigns} 0-1
274027630, Kc3,Kc6, Kd4,Bc5+, Kc3,Bg1, h3,Bh2, Kd3,Bxg3, Ke3,Kc5, Kf3,Bh2  {White resigns} 0-1
